Year;Month;Day;PM25max;O3max;NO2max;Death;Tmean;Tmax;RH;OXmax
2000;8;20;3.5;17.73333333;10.75;30;15.29;20.07652546646495;70.72958476;17.9553259141494
2000;8;21;10.75;26.13333333;25.5;21;16.92;24.119768028240042;57.82756638;12.9720190779014
2000;8;22;13;27.6;34.41666667;34;17.85;23.702092788703983;64.68766857;18.983306836248
2000;8;23;22.75;22.86666667;35.92307692;33;16.02;18.012102874432678;87.37797869;20.268839427663
2000;8;24;16.75;26.66666667;26.53846154;26;19.06;23.794755421079174;71.41337792;18.4463072698367
2000;8;25;16;32.4;23.46153846;41;20.16;26.86472516389309;60.79452519;20.5023847376789
2000;8;26;31;58.46666667;25.23076923;25;20.64;26.512985375693393;65.41933565;23.3124006359301
2000;8;27;21.75;35.6;25.92307692;35;19.63;23.81026222894604;74.38622171;40.2715951245363
2000;8;28;13.5;26;29.69230769;32;15.4;21.9875189107413;60.65361801;26.2420508744038
2000;8;29;33.5;43.06666667;30.46153846;38;17.96;26.644856278366113;50.70606382;18.8142554319025
2000;8;30;43.25;48.66666667;40.53846154;34;23.1;27.257312153303076;75.41288658;31.5364937129643
2000;8;31;40.25;47;38.53846154;33;23.56;29.25037821482602;66.96048613;36.5596184419714
2000;9;1;24.25;41.6;22.69230769;41;23.35;29.66414523449319;63.47616767;32.3963963963964
2000;9;2;5.75;20.13333333;13.46153846;26;13.96;15.981593545133636;86.86094459;29.7538420773715
2000;9;3;12.75;26;18.07692308;35;15.63;21.109682299546144;66.85906972;14.4868839427663
2000;9;4;3.75;28.2;15.76923077;35;14.06;18.612834089762984;72.05923409;18.3244568097509
2000;9;5;6.25;20;21;26;10.36;16.640443772062532;60.34885991;20.0537890832009
2000;9;6;15.5;22.46666667;34.61538462;17;11.23;19.107286938981343;52.08362157;15.3314785373609
2000;9;7;19.75;42.93333333;38.69230769;18;15.16;23.117876954109935;52.86158047;18.5755166931638
2000;9;8;28.5;43.53333333;36.84615385;43;17.98;24.21911245587494;62.64037947;32.6602110131522
2000;9;9;15.5;44.33333333;38;39;16.99;23.519415027735754;61.28308713;32.8930842607313
2000;9;10;24;42.66666667;35.84615385;25;16.68;25.26071608673727;50.63371205;31.9548224695284
2000;9;11;31.5;24.33333333;38.23076923;33;17.96;20.396243066061523;84.86270026;29.3954689984102
2000;9;12;31.75;33.13333333;23.38461538;34;21.03;25.109178013111446;75.31978893;19.5292792792793
2000;9;13;11.75;29.85714286;25.38461538;22;16.51;21.848209783156832;67.59923127;22.4551235727706
2000;9;14;19.75;23.66666667;33.53846154;28;16.12;18.557236510337873;84.65720509;21.2440381558029
2000;9;15;9;27.33333333;28;29;14.59;17.024205748865356;84.14436894;18.25702172761
2000;9;16;4.75;13.6;9.384615385;31;10.87;12.97087745839637;86.98079644;19.72231054584
2000;9;17;12;26.66666667;23.23076923;24;12.79;17.544503277861825;70.32456706;9.53338632750397
2000;9;18;13.75;22.26666667;32.92307692;41;13.74;19.793116490166415;62.90482125;21.1527556968733
2000;9;19;33;51.4;32.07692308;23;17.78;25.15897629853757;57.03462216;17.0161632220456
2000;9;20;33.5;49.73333333;40.46153846;29;18.75;27.09808371154816;52.49597901;35.4444886062533
2000;9;21;26.75;47.73333333;18.15384615;32;16.17;19.881114473020677;76.29426389;35.6661367249603
2000;9;22;9;22.4;24.30769231;24;11.27;15.047150781643973;75.78210205;33.3268415474298
2000;9;23;12.5;9.333333333;23.23076923;27;10.97;13.064044377206253;87.05766482;16.5324589295178
